time (s),Frequency (Hz),Flux (mJy),Flux error
9292.844737966678,4800000000.0,0.0024083868226802297,0.0009894530247276504
13392.900070015085,4800000000.0,0.002016699332850867,0.0011422890519806217
19301.92286034654,4800000000.0,0.0020309866738734495,0.001637438157602672
27818.03971948465,4800000000.0,0.0025344411689433043,0.0005704658873364514
40091.51520466351,4800000000.0,0.0037819056122583225,0.002093783953262847
57780.11706122998,4800000000.0,0.004057513889975249,0.001431470073044785
83273.02948183633,4800000000.0,0.0032854326304303807,0.0004412229724045414
120013.55815417189,4800000000.0,0.00417762953764211,0.00104521688392295
172964.21458962845,4800000000.0,0.0030232826159247795,0.001392390359560635
249276.99827194138,4800000000.0,0.0009648465735742967,0.00043593714398245894
359259.41105736414,4800000000.0,0.00035269923300701667,0.0001731073441415678
517766.682558019,4800000000.0,0.0001308795549727755,2.8023591529918122e-05
746208.253189868,4800000000.0,5.844080699938735e-05,2.393662087546792e-05
1075439.528819584,4800000000.0,2.2518891637751083e-05,1.2821172800379592e-05
1549929.4938157229,4800000000.0,7.636164415652123e-06,2.3520496085256556e-06
2233767.0984036056,4800000000.0,3.391689654048984e-06,1.7040085649559231e-06
3219317.6978821396,4800000000.0,1.807632165975829e-06,4.3267861473843145e-07
4639698.761479632,4800000000.0,9.04147727817393e-07,5.624042932080351e-07
6686759.934080832,4800000000.0,3.5584065932682655e-07,1.9419212739189216e-07
9636996.002251137,4800000000.0,1.6639401546911242e-07,5.9236935622820135e-08
13888892.80652339,4800000000.0,8.745715448531165e-08,3.6816070778677765e-08
20016750.380101576,4800000000.0,5.049468962269113e-08,1.7878879512899075e-08
28848253.158891603,4800000000.0,2.588813141403763e-08,6.400702888698089e-09
41576264.6042089,4800000000.0,1.4911032813063975e-08,4.509605738605507e-09
59919946.24140365,4800000000.0,9.784873953343163e-09,5.719929795162626e-09
9292.844737966678,8600000000.0,0.0022870498068022593,0.001181059097367413
13392.900070015085,8600000000.0,0.002282901640012222,0.0010608000924451522
19301.92286034654,8600000000.0,0.0024257160952734754,0.0009710228064329763
27818.03971948465,8600000000.0,0.002695933385610002,0.0011328842727361787
40091.51520466351,8600000000.0,0.004230735020912566,0.0025571438186612837
57780.11706122998,8600000000.0,0.00396603754923527,0.0016565044175850903
83273.02948183633,8600000000.0,0.003898539174073538,0.002030302492334689
120013.55815417189,8600000000.0,0.00380620831631973,0.002202503046920789
172964.21458962845,8600000000.0,0.0018374696539948956,0.0008602546498704373
249276.99827194138,8600000000.0,0.0005931037134099552,0.00021657103470519592
359259.41105736414,8600000000.0,0.00026594667292191413,0.00018296963419327098
517766.682558019,8600000000.0,0.0001151048365701462,6.2265006438689e-05
746208.253189868,8600000000.0,3.085488896043539e-05,1.4605904009985796e-05
1075439.528819584,8600000000.0,1.4589900380183394e-05,3.2346058510782964e-06
1549929.4938157229,8600000000.0,5.715522437315365e-06,2.851343725315023e-06
2233767.0984036056,8600000000.0,2.2107728185198922e-06,5.864985702782033e-07
3219317.6978821396,8600000000.0,1.0434490211921446e-06,3.2747693149062764e-07
4639698.761479632,8600000000.0,4.289914112765941e-07,1.5698593350305432e-07
6686759.934080832,8600000000.0,2.8701877805449106e-07,4.5189031673009944e-08
9636996.002251137,8600000000.0,1.221568364842211e-07,8.684575263283425e-08
13888892.80652339,8600000000.0,6.278233258508705e-08,2.1630783059861506e-08
20016750.380101576,8600000000.0,3.7567369150566674e-08,2.0817669647235433e-08
28848253.158891603,8600000000.0,2.1626107570854376e-08,1.076201137627833e-08
41576264.6042089,8600000000.0,1.6102813619681713e-08,3.2186485428605725e-09
59919946.24140365,8600000000.0,5.085520545702106e-09,2.122456219952567e-09
9292.844737966678,372000000000000.0,0.0002702775534460723,1.3984277378229311e-05
13392.900070015085,372000000000000.0,0.0001754083073469931,6.72974319281157e-06
19301.92286034654,372000000000000.0,0.00011046968548275587,4.912747737149465e-06
27818.03971948465,372000000000000.0,7.081409172228053e-05,9.59250886140896e-06
40091.51520466351,372000000000000.0,4.576743216470529e-05,4.036987328734179e-06
57780.11706122998,372000000000000.0,2.2389281905480593e-05,3.6473765219774217e-06
83273.02948183633,372000000000000.0,1.077144574708529e-05,9.30954028013181e-07
