time (s),Frequency (Hz),Flux (mJy),Flux error
162754.79141900392,4800000000.0,0.0023735756655460824,0.0009163164768202321
209182.00723642856,4800000000.0,0.0018827955335135602,0.0006380272209470246
268852.98902697663,4800000000.0,0.000682429368781604,0.00020620969607698818
345545.6358970809,4800000000.0,0.0003901315043207545,0.00023178926699413938
444115.5254388393,4800000000.0,0.0001809625226488142,6.67393798361925e-05
570803.3308647039,4800000000.0,0.00011829714831182984,6.540009072203719e-05
733629.9315460668,4800000000.0,4.72089367886883e-05,3.1202991212061754e-05
942904.2322597395,4800000000.0,3.731384749045252e-05,1.795826470791014e-05
1211875.8422788032,4800000000.0,2.500145345577976e-05,1.211372631354903e-05
1557573.9368347565,4800000000.0,7.308460375779262e-06,2.527082572983174e-06
2001885.4110871814,4800000000.0,4.366149216654462e-06,1.7340624939902891e-06
2572940.5868639983,4800000000.0,2.612183788173304e-06,2.4365666589621546e-07
3306894.2042676024,4800000000.0,1.5578613826217932e-06,8.476691507596565e-07
4250214.456583049,4800000000.0,1.115126200251467e-06,6.13055512297534e-07
5462624.992246582,4800000000.0,5.905504377962e-07,2.3815971071734417e-07
7020886.148391425,4800000000.0,2.781000713969137e-07,1.233780232834229e-07
9023654.814057129,4800000000.0,1.777432059358293e-07,5.62529470763383e-08
11597730.611528587,4800000000.0,1.5253709051491183e-07,7.671311671670453e-08
14906083.855075052,4800000000.0,8.512726325680029e-08,6.643275234569876e-08
19158173.554545444,4800000000.0,5.1537708066179803e-08,3.7043432551700684e-08
24623208.718976956,4800000000.0,3.327478460100086e-08,1.3608818238623805e-08
31647192.562072296,4800000000.0,2.123249980300132e-08,8.658447792454064e-09
40674828.71511379,4800000000.0,1.547626743948663e-08,5.205822304702624e-09
52277676.37710219,4800000000.0,8.49340330194109e-09,2.0780308597988886e-09
67190336.96566048,4800000000.0,6.204032749939557e-09,2.1983453372340796e-09
162754.79141900392,8600000000.0,0.00396894524889365,0.0016305872646844627
209182.00723642856,8600000000.0,0.0013689761413806405,0.0007754088243343613
268852.98902697663,8600000000.0,0.0005542491759303403,0.0004468511591744323
345545.6358970809,8600000000.0,0.0002794864918249289,6.290834899274261e-05
444115.5254388393,8600000000.0,0.00017465811307408835,9.669631978026086e-05
570803.3308647039,8600000000.0,8.275665561093752e-05,2.919612330718441e-05
733629.9315460668,8600000000.0,3.2301850176843186e-05,4.338033967637895e-06
942904.2322597395,8600000000.0,2.2404698493464116e-05,5.605515983063679e-06
1211875.8422788032,8600000000.0,1.2712585696872911e-05,5.854855141949675e-06
1557573.9368347565,8600000000.0,5.440996519042451e-06,2.4583519783285206e-06
2001885.4110871814,8600000000.0,3.145706143257102e-06,1.5439354128060093e-06
2572940.5868639983,8600000000.0,1.781005235940597e-06,3.813442309994609e-07
3306894.2042676024,8600000000.0,1.1863397357687265e-06,4.8590986234835e-07
4250214.456583049,8600000000.0,6.696863861910039e-07,3.812871884432624e-07
5462624.992246582,8600000000.0,3.2664304191551173e-07,1.0061080367654683e-07
7020886.148391425,8600000000.0,2.0467248436853642e-07,1.0282888528979674e-07
9023654.814057129,8600000000.0,1.507660085687365e-07,3.6087667040350554e-08
11597730.611528587,8600000000.0,1.0204948519081988e-07,6.347753450593014e-08
14906083.855075052,8600000000.0,5.3217052105198596e-08,2.904202285760151e-08
