time (s),Frequency (Hz),Flux (mJy),Flux error
298553.86656823586,4800000000.0,0.0007183004982907499,0.00043716270004185104
262117.71743543036,4800000000.0,0.0009971079811731663,0.0005460828812038
501214.4394763295,4800000000.0,0.00017923257420767014,6.746152334416971e-05
234185.51365106585,4800000000.0,0.001176862506571049,0.0006032508953598896
316868.0285142569,8600000000.0,0.0003365116710603774,0.00018370146208835706
573906.9594559819,8600000000.0,6.169414605424038e-05,2.841017656407273e-05
396121.90953388653,8600000000.0,0.00019284983184012975,3.811572688267891e-05
287344.5458654653,8600000000.0,0.00048564874788685817,0.00020472545300987755
202158.3826013217,372000000000000.0,9.056490337150679e-07,1.7986516856152078e-07
47441.568327560555,372000000000000.0,3.155762695797432e-05,1.9417977521290053e-06
332590.8949401574,372000000000000.0,2.107591322013469e-07,2.8567237660344702e-08
90054.38112901013,372000000000000.0,9.130623274007032e-06,8.961818429696301e-07
145395.94407944797,372000000000000.0,2.255358432393141e-06,1.1357857121236748e-07
306926.16207222367,372000000000000.0,2.823026774792587e-07,3.682744102142224e-08
147584.84608682487,372000000000000.0,2.390884104391926e-06,2.4947648766782253e-07
15407.543308399248,372000000000000.0,0.00013766966358372772,1.0742533870630837e-05
77902.23438052219,372000000000000.0,1.1617072931530243e-05,1.0769220328964132e-06
92756.43405459475,372000000000000.0,8.899524717814003e-06,1.0193773454161888e-06
98700.92517386544,372000000000000.0,6.997118663250247e-06,4.5765558634868573e-07
124762.90853918648,372000000000000.0,3.610129794451942e-06,1.2486329570629534e-07
24353.085807727148,372000000000000.0,8.93070309085807e-05,9.066728757011675e-06
140756.68950091064,372000000000000.0,2.6052643830342006e-06,1.9306969022022018e-07
194199.0982310164,372000000000000.0,1.0618964722387403e-06,8.910770586591024e-08
65659.88156725421,372000000000000.0,1.7605169045028245e-05,1.7722659578896303e-06
199308.90090141213,372000000000000.0,9.248950141971842e-07,1.18908773844516e-07
258227.7685534003,372000000000000.0,4.983299801701672e-07,5.535548712926778e-08
101523.96456032878,372000000000000.0,7.200785718360803e-06,1.2165187060162887e-06
