t,nu,mJy,upperlimit,Instrument,Counts,Background,filter
198720.0,1.20899718108e+18,<4.615843150000e-08,3.0,b'Chandra',-1.0,0.17,5 keV
794880.0,1.20899718108e+18,1.590100365000e-07+-4.435772700000e-08,0.0,b'Chandra',13.0,0.32,5 keV
1356480.0,1.20899718108e+18,1.805513835000e-07+-3.885495300000e-08,0.0,b'Chandra',28.0,0.81,5 keV
9417600.0,1.20899718108e+18,8.596406700000e-07+-6.767740950000e-08,0.0,b'Chandra',144.0,1.68,5 keV
13651200.0,1.20899718108e+18,8.733976050000e-07+-6.821426550000e-08,0.0,b'Chandra',154.0,1.7,5 keV
22464000.0,1.20899718108e+18,4.694134650000e-07+-5.204147850000e-08,0.0,b'Chandra',76.0,1.7,5 keV
31017600.0,1.20899718108e+18,3.042966915000e-07+-5.284676250000e-08,0.0,b'Chandra',34.0,1.1,5 keV
50284800.0,1.20899718108e+18,9.837886200000e-08+-3.041624775000e-08,0.0,b'Chandra',15.0,0.77,5 keV
64022400.0,1.20899718108e+18,7.237489950000e-08+-2.493025050000e-08,0.0,b'Chandra',11.0,0.72,5 keV
81129600.0,1.20899718108e+18,5.418890250000e-08+-1.925635365000e-08,0.0,b'Chandra',8.0,0.7,5 keV
104371200.0,1.20899718108e+18,7.633421250000e-08+-2.001466275000e-08,0.0,b'Chandra',10.0,0.67,5 keV
108345600.0,1.20899718108e+18,3.180200730000e-08+-2.014216605000e-08,0.0,b'Chandra',5.0,0.85,5 keV
141210560.0,1.20899718108e+18,1.778900000000e-08+-8.714600000000e-09,0.0,b'Chandra',6.0,1.0,5 keV
173836800.0,1.20899718108e+18,1.684600000000e-08+-9.187500000000e-09,0.0,b'Chandra',5.0,0.9,5 keV
53568.0,1.20899718108e+18,<3.019815000000e-06,3.0,b'Swift',-1.0,-1.0,5 keV
88992.0,1.20899718108e+18,<2.013210000000e-06,3.0,b'Swift',-1.0,-1.0,5 keV
430272.0,1.20899718108e+18,<1.118450000000e-06,3.0,b'Swift',-1.0,-1.0,5 keV
495936.0,1.20899718108e+18,<7.829150000000e-07,3.0,b'Swift',-1.0,-1.0,5 keV
559008.0,1.20899718108e+18,<7.829150000000e-07,3.0,b'Swift',-1.0,-1.0,5 keV
60480.0,1.20899718108e+18,<5.592250000000e-07,3.0,b'NuSTAR',-1.0,-1.0,5 keV
371520.0,1.20899718108e+18,<3.914575000000e-07,3.0,b'NuSTAR',-1.0,-1.0,5 keV
1641600.0,1.20899718108e+18,<3.355350000000e-07,3.0,b'NuSTAR',-1.0,-1.0,5 keV
3024000.0,1.20899718108e+18,<3.355350000000e-07,3.0,b'NuSTAR',-1.0,-1.0,5 keV
11620800.0,1.20899718108e+18,7.046235000000e-07+-1.342140000000e-07,0.0,b'XMM',-1.0,-1.0,5 keV
14083200.0,1.20899718108e+18,6.375165000000e-07+-7.717305000000e-08,0.0,b'XMM',-1.0,-1.0,5 keV
1080000.0,403001018954200.0,<9.181317249770e-04,3.0,b'i',-1.0,-1.0,i
1598400.0,403001018954200.0,<7.636687059359e-04,3.0,b'i',-1.0,-1.0,i
9546336.0,508122810169500.0,1.028078433675e-04+-1.136274276388e-05,0.0,b'F606W',-1.0,-1.0,F606W
11840256.0,508122810169500.0,8.318140447200e-05+-1.532258095612e-05,0.0,b'F606W',-1.0,-1.0,F606W
14272416.0,508122810169500.0,9.037040922683e-05+-1.631390767926e-05,0.0,b'F606W',-1.0,-1.0,F606W
18066240.0,508122810169500.0,9.120659632811e-05+-2.520131389054e-05,0.0,b'F606W',-1.0,-1.0,F606W
25643520.0,508122810169500.0,5.248391807578e-05+-1.450184248599e-05,0.0,b'F606W',-1.0,-1.0,F606W
28358208.0,508122810169500.0,3.631000000000e-05+-1.003282376719e-05,0.0,b'F606W',-1.0,-1.0,F606W
