time,freq,flux,UB_err,LB_err
794880.0,1.20899718108e+18,1.590100365e-07,4.4357727e-08,4.4357727e-08
1356480.0,1.20899718108e+18,1.805513835e-07,3.8854953e-08,3.8854953e-08
9417600.0,1.20899718108e+18,8.5964067e-07,6.76774095e-08,6.76774095e-08
13651200.0,1.20899718108e+18,8.73397605e-07,6.82142655e-08,6.82142655e-08
22464000.0,1.20899718108e+18,4.69413465e-07,5.20414785e-08,5.20414785e-08
31017600.0,1.20899718108e+18,3.042966915e-07,5.28467625e-08,5.28467625e-08
11620800.0,1.20899718108e+18,7.046235e-07,1.34214e-07,1.34214e-07
14083200.0,1.20899718108e+18,6.375165e-07,7.717305e-08,7.717305e-08
9546336.0,508122810169500.0,0.0001028078433675,1.136274276388e-05,1.136274276388e-05
11840256.0,508122810169500.0,8.3181404472e-05,1.532258095612e-05,1.532258095612e-05
14272416.0,508122810169500.0,9.037040922683e-05,1.631390767926e-05,1.631390767926e-05
18066240.0,508122810169500.0,9.120659632811e-05,2.520131389054e-05,2.520131389054e-05
25643520.0,508122810169500.0,5.248391807578e-05,1.450184248599e-05,1.450184248599e-05
28358208.0,508122810169500.0,3.631e-05,1.003282376719e-05,1.003282376719e-05
31304448.0,508122810169500.0,1.905575888167e-05,5.265300760394e-06,5.265300760394e-06
1418688.0,3000000000.0,0.019,0.006,0.006
1502496.0,3000000000.0,0.015,0.004,0.004
1583712.0,3000000000.0,0.015,0.004,0.004
1931904.0,3000000000.0,0.023,0.003,0.003
2096064.0,3000000000.0,0.026,0.003,0.003
2697408.0,3000000000.0,0.034,0.004,0.004
9936000.0,3400000000.0,0.096,0.011,0.011
14083200.0,3400000000.0,0.091,0.017,0.017
17020800.0,3500000000.0,0.067,0.006,0.006
18748800.0,3500000000.0,0.068,0.021,0.021
22204800.0,3500000000.0,0.055,0.012,0.012
6480000.0,5500000000.0,0.05,0.008,0.008
7948800.0,5500000000.0,0.049,0.008,0.008
9331200.0,5500000000.0,0.065,0.008,0.008
10800000.0,5500000000.0,0.072,0.009,0.009
12873600.0,5500000000.0,0.079,0.008,0.008
14073696.0,5000000000.0,0.081,0.013,0.013
15724800.0,5500000000.0,0.081,0.016,0.016
19094400.0,5500000000.0,0.06,0.012,0.012
23068800.0,5500000000.0,0.036,0.008,0.008
25747200.0,5500000000.0,0.028,0.007,0.007
27648000.0,5500000000.0,0.027,0.008,0.008
1671840.0,6000000000.0,0.016,0.006,0.006
1682208.0,6000000000.0,0.019,0.006,0.006
1845504.0,6000000000.0,0.014,0.003,0.003
2018304.0,6000000000.0,0.023,0.003,0.003
3389472.0,6000000000.0,0.027,0.006,0.006
18748800.0,6000000000.0,0.039,0.009,0.009
14073696.0,7000000000.0,0.061,0.007,0.007
6307200.0,9000000000.0,0.031,0.005,0.005
7948800.0,9000000000.0,0.021,0.007,0.007
9331200.0,9000000000.0,0.052,0.007,0.007
10800000.0,9000000000.0,0.072,0.009,0.009
12873600.0,9000000000.0,0.05,0.007,0.007
14073696.0,9000000000.0,0.055,0.01,0.01
15724800.0,9000000000.0,0.054,0.011,0.011
23068800.0,9000000000.0,0.023,0.006,0.006
25747200.0,9000000000.0,0.032,0.006,0.006
27648000.0,9000000000.0,0.022,0.006,0.006
19094400.0,10000000000.0,0.028,0.007,0.007
19094400.0,15000000000.0,0.021,0.005,0.005
794879.9999999999,2.418e+17,4.0433e-07,1.2904e-07,1.0323e-07
1356480.0,2.418e+17,4.8175e-07,1.0323e-07,1.0323e-07
9391680.0,2.418e+17,2.15068e-06,1.7205e-07,1.7205e-07
13651200.0,2.418e+17,2.2367e-06,1.7205e-07,1.7205e-07
22464000.0,2.418e+17,1.20438e-06,1.4625e-07,1.4625e-07
30983040.000000004,2.418e+17,7.7424e-07,1.4625e-07,1.2904e-07
