# nu [1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18]
# t(s)     Fnu(mJy)
1.000000e-01 8.569063e+00
1.063545e-01 8.438528e+00
1.131128e-01 8.292957e+00
1.203005e-01 8.193703e+00
1.279450e-01 8.058668e+00
1.360753e-01 7.941305e+00
1.447222e-01 7.816911e+00
1.539186e-01 7.702052e+00
1.636993e-01 7.587615e+00
1.741016e-01 7.472110e+00
1.851648e-01 7.353053e+00
1.969311e-01 7.241535e+00
2.094451e-01 7.133328e+00
2.227543e-01 7.026029e+00
2.369092e-01 6.918878e+00
2.519636e-01 6.806223e+00
2.679746e-01 6.709969e+00
2.850030e-01 6.602137e+00
3.031136e-01 6.507623e+00
3.223749e-01 6.411528e+00
3.428602e-01 6.311596e+00
3.646472e-01 6.207763e+00
3.878187e-01 6.116337e+00
4.124626e-01 6.023866e+00
4.386726e-01 5.928780e+00
4.665480e-01 5.842657e+00
4.961948e-01 5.749449e+00
5.277254e-01 5.660387e+00
5.612597e-01 5.569905e+00
5.969250e-01 5.486815e+00
6.348565e-01 5.398871e+00
6.751985e-01 5.319233e+00
7.181039e-01 5.227495e+00
7.637358e-01 5.162473e+00
8.122674e-01 5.078592e+00
8.638828e-01 5.004250e+00
9.187782e-01 4.927696e+00
9.771620e-01 4.854868e+00
1.039256e+00 4.779845e+00
1.105295e+00 4.706357e+00
1.175531e+00 4.635050e+00
1.250230e+00 4.564259e+00
1.329676e+00 4.494035e+00
1.414170e+00 4.427289e+00
1.504034e+00 4.360333e+00
1.599607e+00 4.291363e+00
1.701254e+00 4.228396e+00
1.809360e+00 4.160560e+00
1.924336e+00 4.101080e+00
2.046618e+00 4.039637e+00
2.176670e+00 3.977761e+00
2.314987e+00 3.917060e+00
2.462092e+00 3.853407e+00
2.618546e+00 3.794608e+00
2.784941e+00 3.721994e+00
2.961910e+00 3.651762e+00
3.150125e+00 3.568472e+00
3.350299e+00 3.484138e+00
3.563194e+00 3.404603e+00
3.789617e+00 3.306654e+00
4.030428e+00 3.212452e+00
4.286541e+00 3.117688e+00
4.558929e+00 3.015744e+00
4.848626e+00 2.918717e+00
5.156732e+00 2.821614e+00
5.484417e+00 2.721024e+00
5.832924e+00 2.620997e+00
6.203576e+00 2.520356e+00
6.597782e+00 2.420141e+00
7.017038e+00 2.321880e+00
7.462936e+00 2.225411e+00
7.937168e+00 2.126743e+00
8.441535e+00 2.030759e+00
8.977952e+00 1.939880e+00
9.548455e+00 1.842278e+00
1.015521e+01 1.750581e+00
1.080052e+01 1.662487e+00
1.148684e+01 1.573947e+00
1.221677e+01 1.489948e+00
1.299309e+01 1.408657e+00
1.381873e+01 1.330196e+00
1.469684e+01 1.254105e+00
1.563075e+01 1.177804e+00
1.662401e+01 1.108805e+00
1.768038e+01 1.041580e+00
1.880388e+01 9.788637e-01
1.999877e+01 9.175474e-01
2.126959e+01 8.593276e-01
2.262117e+01 8.048617e-01
2.405863e+01 7.533581e-01
2.558744e+01 7.036602e-01
2.721339e+01 6.566726e-01
2.894266e+01 6.132119e-01
3.078182e+01 5.721615e-01
3.273785e+01 5.341813e-01
3.481818e+01 4.981920e-01
3.703070e+01 4.646358e-01
3.938381e+01 4.329638e-01
4.188645e+01 4.040507e-01
4.454813e+01 3.762833e-01
4.737893e+01 3.504478e-01
5.038963e+01 3.264864e-01
5.359163e+01 3.040968e-01
5.699711e+01 2.833953e-01
6.061899e+01 2.639978e-01
6.447102e+01 2.458578e-01
6.856783e+01 2.288138e-01
7.292497e+01 2.131807e-01
7.755898e+01 1.985822e-01
8.248747e+01 1.849029e-01
8.772913e+01 1.722759e-01
9.330387e+01 1.605048e-01
9.923286e+01 1.491574e-01
1.055386e+02 1.389455e-01
1.122451e+02 1.294604e-01
