# nu [1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18]
# t(s)     Fnu(mJy)
1.000000e-01 2.821903e-07
1.097499e-01 2.593955e-07
1.204504e-01 2.384286e-07
1.321941e-01 2.192894e-07
1.450829e-01 2.014260e-07
1.592283e-01 1.852196e-07
1.747528e-01 1.703534e-07
1.917910e-01 1.567973e-07
2.104904e-01 1.440696e-07
2.310130e-01 1.324850e-07
2.535364e-01 1.217591e-07
2.782559e-01 1.119763e-07
3.053856e-01 1.029468e-07
3.351603e-01 9.462668e-08
3.678380e-01 8.703882e-08
4.037017e-01 8.003881e-08
4.430621e-01 7.354569e-08
4.862602e-01 6.766113e-08
5.336699e-01 6.220162e-08
5.857021e-01 5.714031e-08
6.428073e-01 5.249854e-08
7.054802e-01 4.825979e-08
7.742637e-01 4.436666e-08
8.497534e-01 4.078647e-08
9.326033e-01 3.744548e-08
1.023531e+00 3.441878e-08
1.123324e+00 3.167947e-08
1.232847e+00 2.912328e-08
1.353048e+00 2.675191e-08
1.484968e+00 2.459136e-08
1.629751e+00 2.260875e-08
1.788650e+00 2.078111e-08
1.963041e+00 1.909621e-08
2.154435e+00 1.755940e-08
2.364489e+00 1.612806e-08
2.595024e+00 1.480507e-08
2.848036e+00 1.358702e-08
3.125716e+00 1.247859e-08
3.430469e+00 1.143977e-08
3.764936e+00 1.048466e-08
4.132012e+00 9.610869e-09
4.534879e+00 8.826394e-09
4.977024e+00 8.116484e-09
5.462277e+00 7.484335e-09
5.994843e+00 6.944320e-09
6.579332e+00 6.487511e-09
7.220809e+00 6.093403e-09
7.924829e+00 5.771261e-09
8.697490e+00 5.498682e-09
9.545485e+00 5.270574e-09
1.047616e+01 5.070813e-09
1.149757e+01 4.891306e-09
1.261857e+01 4.723793e-09
1.384886e+01 4.561108e-09
1.519911e+01 4.394372e-09
1.668101e+01 4.234288e-09
1.830738e+01 4.063813e-09
2.009233e+01 3.891022e-09
2.205131e+01 3.723922e-09
2.420128e+01 3.548819e-09
2.656088e+01 3.370868e-09
2.915053e+01 3.195943e-09
3.199267e+01 3.024445e-09
3.511192e+01 2.858211e-09
3.853529e+01 2.702527e-09
4.229243e+01 2.555469e-09
4.641589e+01 2.423160e-09
5.094138e+01 2.309462e-09
5.590810e+01 2.215306e-09
6.135907e+01 2.142664e-09
6.734151e+01 2.090342e-09
7.390722e+01 2.053476e-09
8.111308e+01 2.030852e-09
8.902151e+01 2.022179e-09
9.770100e+01 2.005600e-09
1.072267e+02 1.992186e-09
1.176812e+02 1.973951e-09
1.291550e+02 1.950045e-09
1.417474e+02 1.917736e-09
1.555676e+02 1.881751e-09
1.707353e+02 1.843928e-09
1.873817e+02 1.805524e-09
2.056512e+02 1.776590e-09
2.257020e+02 1.752667e-09
2.477076e+02 1.741429e-09
2.718588e+02 1.742119e-09
2.983647e+02 1.754201e-09
3.274549e+02 1.775588e-09
3.593814e+02 1.800353e-09
3.944206e+02 1.826419e-09
4.328761e+02 1.849789e-09
4.750810e+02 1.868892e-09
5.214008e+02 1.883233e-09
5.722368e+02 1.900338e-09
6.280291e+02 1.917914e-09
6.892612e+02 1.944397e-09
7.564633e+02 1.978050e-09
8.302176e+02 2.024979e-09
9.111628e+02 2.079856e-09
1.000000e+03 2.144718e-09
