# nu [1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18]
# t(s)     Fnu(mJy)
8.640000e+03 1.816170e-15
9.482389e+03 2.339812e-15
1.040691e+04 3.227913e-15
1.142157e+04 4.352813e-15
1.253516e+04 5.452928e-15
1.375732e+04 6.861954e-15
1.509865e+04 9.261666e-15
1.657074e+04 1.266504e-14
1.818637e+04 1.620087e-14
1.995952e+04 2.020961e-14
2.190555e+04 2.681961e-14
2.404131e+04 3.670755e-14
2.638531e+04 4.749651e-14
2.895785e+04 5.933184e-14
3.178120e+04 7.810688e-14
3.487983e+04 1.065607e-13
3.828057e+04 1.380268e-13
4.201288e+04 1.730844e-13
4.610908e+04 2.286806e-13
5.060466e+04 3.097670e-13
5.553855e+04 3.979550e-13
6.095349e+04 5.028570e-13
6.689638e+04 6.706545e-13
7.341870e+04 8.973817e-13
8.057693e+04 1.138534e-12
8.843308e+04 1.463512e-12
9.705520e+04 1.967822e-12
1.065180e+05 2.569933e-12
1.169033e+05 3.252478e-12
1.283013e+05 4.292319e-12
1.408105e+05 5.706362e-12
1.545393e+05 7.263597e-12
1.696067e+05 9.410741e-12
1.861432e+05 1.254776e-11
2.042919e+05 1.613324e-11
2.242101e+05 2.072190e-11
2.460703e+05 2.751423e-11
2.700618e+05 3.554303e-11
2.963925e+05 4.559889e-11
3.252905e+05 6.028093e-11
3.570059e+05 7.774845e-11
3.918135e+05 1.001166e-10
4.300148e+05 1.317247e-10
4.719408e+05 1.690504e-10
5.179544e+05 2.192273e-10
5.684543e+05 2.858432e-10
6.238779e+05 3.660630e-10
6.847052e+05 4.773729e-10
7.514631e+05 6.139762e-10
8.247299e+05 7.926447e-10
9.051400e+05 1.024833e-09
9.933900e+05 1.314408e-09
1.090244e+06 1.697987e-09
1.196542e+06 2.172586e-09
1.313203e+06 2.794868e-09
1.441239e+06 3.567678e-09
1.581758e+06 4.567381e-09
1.735977e+06 5.812938e-09
1.905233e+06 7.389446e-09
2.090991e+06 9.361111e-09
2.294860e+06 1.179882e-08
2.518606e+06 1.479102e-08
2.764167e+06 1.838555e-08
3.033670e+06 2.247202e-08
3.329449e+06 2.627756e-08
3.654066e+06 2.751711e-08
4.010333e+06 2.549255e-08
4.401335e+06 2.102679e-08
4.830460e+06 1.510866e-08
5.301424e+06 9.621611e-09
5.818306e+06 5.728474e-09
6.385584e+06 3.360601e-09
7.008170e+06 2.007196e-09
7.691458e+06 1.238651e-09
8.441366e+06 7.933073e-10
9.264389e+06 5.268298e-10
1.016766e+07 3.616697e-10
1.115899e+07 2.557118e-10
1.224698e+07 1.855097e-10
1.344104e+07 1.376214e-10
1.475153e+07 1.040941e-10
1.618978e+07 8.007116e-11
1.776827e+07 6.250188e-11
1.950065e+07 4.941706e-11
2.140194e+07 3.951354e-11
2.348860e+07 3.190962e-11
2.577871e+07 2.599634e-11
2.829210e+07 2.134504e-11
3.105055e+07 1.764884e-11
3.407794e+07 1.468484e-11
3.740050e+07 1.228858e-11
4.104700e+07 1.033720e-11
4.504903e+07 8.738049e-12
4.944126e+07 7.420432e-12
5.426172e+07 6.329923e-12
5.955217e+07 5.424459e-12
6.535843e+07 4.671289e-12
7.173080e+07 4.045000e-12
7.872446e+07 3.525879e-12
8.640000e+07 3.098960e-12
