# nu [1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18]
# t(s)     Fnu(mJy)
8.640000e+03 6.230561e-09
9.482389e+03 6.653548e-09
1.040691e+04 7.110251e-09
1.142157e+04 7.615118e-09
1.253516e+04 8.174512e-09
1.375732e+04 8.772019e-09
1.509865e+04 9.425682e-09
1.657074e+04 1.014395e-08
1.818637e+04 1.092949e-08
1.995952e+04 1.181438e-08
2.190555e+04 1.275958e-08
2.404131e+04 1.380886e-08
2.638531e+04 1.497612e-08
2.895785e+04 1.623219e-08
3.178120e+04 1.759805e-08
3.487983e+04 1.913602e-08
3.828057e+04 2.083521e-08
4.201288e+04 2.277857e-08
4.610908e+04 2.484491e-08
5.060466e+04 2.706982e-08
5.553855e+04 2.950610e-08
6.095349e+04 3.239791e-08
6.689638e+04 3.555944e-08
7.341870e+04 3.897273e-08
8.057693e+04 4.269373e-08
8.843308e+04 4.688561e-08
9.705520e+04 5.159852e-08
1.065180e+05 5.685006e-08
1.169033e+05 6.255708e-08
1.283013e+05 6.889028e-08
1.408105e+05 7.593672e-08
1.545393e+05 8.390470e-08
1.696067e+05 9.267746e-08
1.861432e+05 1.026625e-07
2.042919e+05 1.130689e-07
2.242101e+05 1.252243e-07
2.460703e+05 1.384352e-07
2.700618e+05 1.536312e-07
2.963925e+05 1.694815e-07
3.252905e+05 1.874569e-07
3.570059e+05 2.080862e-07
3.918135e+05 2.309062e-07
4.300148e+05 2.558304e-07
4.719408e+05 2.827124e-07
5.179544e+05 3.133847e-07
5.684543e+05 3.479223e-07
6.238779e+05 3.847677e-07
6.847052e+05 4.251487e-07
7.514631e+05 4.714712e-07
8.247299e+05 5.221201e-07
9.051400e+05 5.755300e-07
9.933900e+05 6.360191e-07
1.090244e+06 7.039564e-07
1.196542e+06 7.736418e-07
1.313203e+06 8.522674e-07
1.441239e+06 9.399042e-07
1.581758e+06 1.029124e-06
1.735977e+06 1.129447e-06
1.905233e+06 1.238236e-06
2.090991e+06 1.347452e-06
2.294860e+06 1.469648e-06
2.518606e+06 1.595536e-06
2.764167e+06 1.725061e-06
3.033670e+06 1.863021e-06
3.329449e+06 1.995392e-06
3.654066e+06 2.135245e-06
4.010333e+06 2.265235e-06
4.401335e+06 2.391409e-06
4.830460e+06 2.500444e-06
5.301424e+06 2.597768e-06
5.818306e+06 2.653139e-06
6.385584e+06 2.678736e-06
7.008170e+06 2.650359e-06
7.691458e+06 2.563257e-06
8.441366e+06 2.430686e-06
9.264389e+06 2.253658e-06
1.016766e+07 2.039525e-06
1.115899e+07 1.790574e-06
1.224698e+07 1.519609e-06
1.344104e+07 1.243733e-06
1.475153e+07 9.844492e-07
1.618978e+07 7.557088e-07
1.776827e+07 5.649926e-07
1.950065e+07 4.149873e-07
2.140194e+07 3.012794e-07
2.348860e+07 2.177640e-07
2.577871e+07 1.574035e-07
2.829210e+07 1.142574e-07
3.105055e+07 8.352020e-08
3.407794e+07 6.159812e-08
3.740050e+07 4.589106e-08
4.104700e+07 3.455397e-08
4.504903e+07 2.629721e-08
4.944126e+07 2.022416e-08
5.426172e+07 1.571094e-08
5.955217e+07 1.232190e-08
6.535843e+07 9.750871e-09
7.173080e+07 7.780833e-09
7.872446e+07 6.257419e-09
8.640000e+07 5.068558e-09
