# nu [1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18]
# t(s)     Fnu(mJy)
1.000000e+03 1.033777e-02
1.031283e+03 9.973938e-03
1.063545e+03 9.624312e-03
1.096816e+03 9.285576e-03
1.131128e+03 8.962490e-03
1.166513e+03 8.649887e-03
1.203005e+03 8.335008e-03
1.240639e+03 8.052125e-03
1.279450e+03 7.767370e-03
1.319476e+03 7.496942e-03
1.360753e+03 7.234081e-03
1.403322e+03 6.979760e-03
1.447222e+03 6.736865e-03
1.492496e+03 6.500435e-03
1.539186e+03 6.270082e-03
1.587336e+03 6.055136e-03
1.636993e+03 5.837408e-03
1.688203e+03 5.652155e-03
1.741016e+03 5.439683e-03
1.795480e+03 5.247308e-03
1.851648e+03 5.063000e-03
1.909574e+03 4.885373e-03
1.969311e+03 4.712167e-03
2.030918e+03 4.546820e-03
2.094451e+03 4.385782e-03
2.159972e+03 4.231121e-03
2.227543e+03 4.082421e-03
2.297228e+03 3.938927e-03
2.369092e+03 3.799301e-03
2.443205e+03 3.665610e-03
2.519636e+03 3.536026e-03
2.598458e+03 3.411533e-03
2.679746e+03 3.294248e-03
2.763577e+03 3.179171e-03
2.850030e+03 3.065026e-03
2.939188e+03 2.957666e-03
3.031136e+03 2.852644e-03
3.125959e+03 2.762564e-03
3.223749e+03 2.656272e-03
3.324598e+03 2.562965e-03
3.428602e+03 2.471659e-03
3.535859e+03 2.383365e-03
3.646472e+03 2.306248e-03
3.760545e+03 2.223464e-03
3.878187e+03 2.145247e-03
3.999509e+03 2.068844e-03
4.124626e+03 1.991925e-03
4.253658e+03 1.920662e-03
4.386726e+03 1.852471e-03
4.523956e+03 1.789248e-03
4.665480e+03 1.725819e-03
4.811431e+03 1.663724e-03
4.961948e+03 1.606580e-03
5.117173e+03 1.550094e-03
5.277254e+03 1.495211e-03
5.442344e+03 1.442311e-03
5.612597e+03 1.391641e-03
5.788177e+03 1.342613e-03
5.969250e+03 1.295309e-03
6.155987e+03 1.249435e-03
6.348565e+03 1.206265e-03
6.547168e+03 1.162968e-03
6.751985e+03 1.121834e-03
6.963208e+03 1.081861e-03
7.181039e+03 1.043801e-03
7.405685e+03 1.007474e-03
7.637358e+03 9.715627e-04
7.876279e+03 9.374902e-04
8.122674e+03 9.041157e-04
8.376776e+03 8.719134e-04
8.638828e+03 8.407257e-04
8.909078e+03 8.109004e-04
9.187782e+03 7.823387e-04
9.475205e+03 7.544340e-04
9.771620e+03 7.274243e-04
1.007731e+04 7.017597e-04
1.039256e+04 6.761387e-04
1.071767e+04 6.518863e-04
1.105295e+04 6.281534e-04
1.139872e+04 6.058396e-04
1.175531e+04 5.840222e-04
1.212305e+04 5.629090e-04
1.250230e+04 5.425404e-04
1.289341e+04 5.235174e-04
1.329676e+04 5.042214e-04
1.371272e+04 4.851694e-04
1.414170e+04 4.675708e-04
1.458410e+04 4.500044e-04
1.504034e+04 4.330498e-04
1.551084e+04 4.170332e-04
1.599607e+04 4.011976e-04
1.649648e+04 3.861169e-04
1.701254e+04 3.713090e-04
1.754475e+04 3.569874e-04
1.809360e+04 3.431242e-04
1.865963e+04 3.293874e-04
1.924336e+04 3.165091e-04
1.984535e+04 3.034903e-04
2.046618e+04 2.912519e-04
2.110643e+04 2.799907e-04
2.176670e+04 2.686301e-04
2.244763e+04 2.579200e-04
2.314987e+04 2.470014e-04
2.387407e+04 2.372051e-04
2.462092e+04 2.277140e-04
2.539114e+04 2.185306e-04
2.618546e+04 2.095008e-04
2.700462e+04 2.004886e-04
2.784941e+04 1.924232e-04
2.872063e+04 1.842609e-04
2.961910e+04 1.763388e-04
3.054568e+04 1.691059e-04
3.150125e+04 1.617975e-04
3.248671e+04 1.546956e-04
3.350299e+04 1.480762e-04
3.455107e+04 1.417724e-04
3.563194e+04 1.355622e-04
3.674662e+04 1.295131e-04
3.789617e+04 1.239639e-04
3.908168e+04 1.184524e-04
4.030428e+04 1.131917e-04
4.156513e+04 1.085316e-04
4.286541e+04 1.035665e-04
4.420638e+04 9.897840e-05
4.558929e+04 9.479337e-05
4.701547e+04 9.046204e-05
4.848626e+04 8.651338e-05
5.000307e+04 8.268573e-05
5.156732e+04 7.897109e-05
5.318051e+04 7.544767e-05
5.484417e+04 7.196807e-05
5.655986e+04 6.873577e-05
5.832924e+04 6.560623e-05
6.015396e+04 6.268130e-05
6.203576e+04 5.980236e-05
6.397644e+04 5.711662e-05
6.597782e+04 5.453535e-05
6.804182e+04 5.209643e-05
7.017038e+04 4.972563e-05
7.236553e+04 4.745600e-05
7.462936e+04 4.526713e-05
7.696400e+04 4.325831e-05
7.937168e+04 4.132350e-05
8.185467e+04 3.944403e-05
8.441535e+04 3.762768e-05
8.705612e+04 3.589472e-05
8.977952e+04 3.418070e-05
9.258810e+04 3.274927e-05
9.548455e+04 3.111881e-05
9.847161e+04 2.965383e-05
1.015521e+05 2.826517e-05
1.047290e+05 2.694687e-05
1.080052e+05 2.569857e-05
1.113840e+05 2.448295e-05
1.148684e+05 2.334121e-05
1.184619e+05 2.224392e-05
1.221677e+05 2.117087e-05
1.259895e+05 2.015679e-05
1.299309e+05 1.919084e-05
1.339955e+05 1.826150e-05
1.381873e+05 1.737391e-05
1.425103e+05 1.652286e-05
1.469684e+05 1.570716e-05
1.515661e+05 1.493545e-05
1.563075e+05 1.419945e-05
1.611973e+05 1.347115e-05
1.662401e+05 1.278842e-05
1.714406e+05 1.213137e-05
1.768038e+05 1.150319e-05
1.823348e+05 1.090122e-05
1.880388e+05 1.032447e-05
1.939213e+05 9.761382e-06
1.999877e+05 9.233761e-06
2.062440e+05 8.728344e-06
2.126959e+05 8.243460e-06
2.193497e+05 7.773604e-06
2.262117e+05 7.351732e-06
2.332883e+05 6.949516e-06
2.405863e+05 6.538372e-06
2.481126e+05 6.145625e-06
2.558744e+05 5.773729e-06
2.638789e+05 5.419524e-06
2.721339e+05 5.084452e-06
2.806471e+05 4.765693e-06
2.894266e+05 4.458142e-06
2.984808e+05 4.168094e-06
3.078182e+05 3.893253e-06
3.174477e+05 3.632347e-06
3.273785e+05 3.386405e-06
3.376199e+05 3.153220e-06
3.481818e+05 2.932619e-06
3.590740e+05 2.724248e-06
3.703070e+05 2.527669e-06
3.818913e+05 2.348169e-06
3.938381e+05 2.164312e-06
4.061586e+05 2.000571e-06
4.188645e+05 1.847092e-06
4.319679e+05 1.704016e-06
4.454813e+05 1.568938e-06
4.594173e+05 1.444015e-06
4.737893e+05 1.326697e-06
4.886110e+05 1.216507e-06
5.038963e+05 1.116426e-06
5.196597e+05 1.022793e-06
5.359163e+05 9.364048e-07
5.526815e+05 8.569897e-07
5.699711e+05 7.838707e-07
5.878016e+05 7.170126e-07
6.061899e+05 6.553003e-07
6.251534e+05 5.993609e-07
6.447102e+05 5.488462e-07
6.648788e+05 5.014686e-07
6.856783e+05 4.593853e-07
7.071285e+05 4.203881e-07
7.292497e+05 3.848262e-07
7.520629e+05 3.523180e-07
7.755898e+05 3.226956e-07
7.998527e+05 2.956574e-07
8.248747e+05 2.709972e-07
8.506793e+05 2.484768e-07
8.772913e+05 2.278302e-07
9.047357e+05 2.091702e-07
9.330387e+05 1.920500e-07
9.622271e+05 1.764290e-07
9.923286e+05 1.621662e-07
1.023372e+06 1.491392e-07
1.055386e+06 1.372366e-07
1.088402e+06 1.263663e-07
1.122451e+06 1.164278e-07
1.157564e+06 1.073387e-07
1.193777e+06 9.902052e-08
1.231122e+06 9.141533e-08
1.269635e+06 8.444412e-08
1.309353e+06 7.805398e-08
1.350314e+06 7.219281e-08
1.392556e+06 6.681086e-08
1.436120e+06 6.186254e-08
1.481046e+06 5.730679e-08
1.527378e+06 5.311103e-08
1.575159e+06 4.924534e-08
1.624435e+06 4.568287e-08
1.675252e+06 4.239668e-08
1.727660e+06 3.936491e-08
1.781706e+06 3.656644e-08
1.837444e+06 3.398356e-08
1.894925e+06 3.159619e-08
1.954204e+06 2.938977e-08
2.015338e+06 2.734960e-08
2.078384e+06 2.546240e-08
2.143402e+06 2.371712e-08
2.210455e+06 2.210009e-08
2.279605e+06 2.060238e-08
2.350918e+06 1.921456e-08
2.424462e+06 1.792802e-08
2.500307e+06 1.673489e-08
2.578524e+06 1.562789e-08
2.659189e+06 1.460041e-08
2.742377e+06 1.364631e-08
2.828167e+06 1.276030e-08
2.916641e+06 1.193628e-08
3.007883e+06 1.117047e-08
3.101979e+06 1.045826e-08
3.199018e+06 9.795524e-09
3.299094e+06 9.178605e-09
3.402300e+06 8.604176e-09
3.508734e+06 8.068984e-09
3.618499e+06 7.570195e-09
3.731697e+06 7.105172e-09
3.848436e+06 6.671420e-09
3.968827e+06 6.266698e-09
4.092985e+06 5.888921e-09
4.221026e+06 5.536145e-09
4.353073e+06 5.206577e-09
4.489251e+06 4.898574e-09
4.629689e+06 4.610630e-09
4.774521e+06 4.341329e-09
4.923883e+06 4.089350e-09
5.077917e+06 3.853500e-09
5.236771e+06 3.633116e-09
5.400593e+06 3.426234e-09
5.569541e+06 3.232369e-09
5.743774e+06 3.050632e-09
5.923457e+06 2.880201e-09
6.108762e+06 2.720316e-09
6.299863e+06 2.570268e-09
6.496943e+06 2.429402e-09
6.700188e+06 2.297105e-09
6.909791e+06 2.172806e-09
7.125951e+06 2.056012e-09
7.348873e+06 1.946167e-09
7.578769e+06 1.842852e-09
7.815857e+06 1.745640e-09
8.060361e+06 1.654143e-09
8.312515e+06 1.568028e-09
8.572557e+06 1.486875e-09
8.840733e+06 1.410405e-09
9.117299e+06 1.338327e-09
9.402517e+06 1.270361e-09
9.696658e+06 1.206251e-09
1.000000e+07 1.145754e-09
