# nu [1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18]
# t(s)     Fnu(mJy)
8.640000e+03 3.589401e-04
9.482389e+03 3.334764e-04
1.040691e+04 3.094017e-04
1.142157e+04 2.866348e-04
1.253516e+04 2.655469e-04
1.375732e+04 2.457095e-04
1.509865e+04 2.271836e-04
1.657074e+04 2.103230e-04
1.818637e+04 1.946376e-04
1.995952e+04 1.803435e-04
2.190555e+04 1.674012e-04
2.404131e+04 1.556543e-04
2.638531e+04 1.450600e-04
2.895785e+04 1.357693e-04
3.178120e+04 1.268615e-04
3.487983e+04 1.189950e-04
3.828057e+04 1.116859e-04
4.201288e+04 1.049154e-04
4.610908e+04 9.852845e-05
5.060466e+04 9.252435e-05
5.553855e+04 8.686244e-05
6.095349e+04 8.162254e-05
6.689638e+04 7.679741e-05
7.341870e+04 7.223304e-05
8.057693e+04 6.810762e-05
8.843308e+04 6.434777e-05
9.705520e+04 6.085362e-05
1.065180e+05 5.772339e-05
1.169033e+05 5.475399e-05
1.283013e+05 5.189644e-05
1.408105e+05 4.953306e-05
1.545393e+05 4.715284e-05
1.696067e+05 4.485945e-05
1.861432e+05 4.278719e-05
2.042919e+05 4.087991e-05
2.242101e+05 3.908101e-05
2.460703e+05 3.743396e-05
2.700618e+05 3.591504e-05
2.963925e+05 3.444885e-05
3.252905e+05 3.310264e-05
3.570059e+05 3.183272e-05
3.918135e+05 3.064605e-05
4.300148e+05 2.953247e-05
4.719408e+05 2.848366e-05
5.179544e+05 2.752056e-05
5.684543e+05 2.661350e-05
6.238779e+05 2.570973e-05
6.847052e+05 2.497401e-05
7.514631e+05 2.420439e-05
8.247299e+05 2.346907e-05
9.051400e+05 2.278856e-05
9.933900e+05 2.219110e-05
1.090244e+06 2.150949e-05
1.196542e+06 2.094099e-05
1.313203e+06 2.035609e-05
1.441239e+06 1.982100e-05
1.581758e+06 1.929548e-05
1.735977e+06 1.879483e-05
1.905233e+06 1.830810e-05
2.090991e+06 1.782442e-05
2.294860e+06 1.735207e-05
2.518606e+06 1.688725e-05
2.764167e+06 1.640623e-05
3.033670e+06 1.594548e-05
3.329449e+06 1.548336e-05
3.654066e+06 1.499153e-05
4.010333e+06 1.450094e-05
4.401335e+06 1.400007e-05
4.830460e+06 1.348046e-05
5.301424e+06 1.293417e-05
5.818306e+06 1.237125e-05
6.385584e+06 1.176097e-05
7.008170e+06 1.113450e-05
7.691458e+06 1.048719e-05
8.441366e+06 9.795748e-06
9.264389e+06 9.088987e-06
1.016766e+07 8.358980e-06
1.115899e+07 7.623135e-06
1.224698e+07 6.877683e-06
1.344104e+07 6.129310e-06
1.475153e+07 5.393644e-06
1.618978e+07 4.669751e-06
1.776827e+07 3.972790e-06
1.950065e+07 3.313410e-06
2.140194e+07 2.712289e-06
2.348860e+07 2.174702e-06
2.577871e+07 1.709670e-06
2.829210e+07 1.325172e-06
3.105055e+07 1.016916e-06
3.407794e+07 7.748959e-07
3.740050e+07 5.876002e-07
4.104700e+07 4.455738e-07
4.504903e+07 3.382608e-07
4.944126e+07 2.575882e-07
5.426172e+07 1.970453e-07
5.955217e+07 1.515838e-07
6.535843e+07 1.173611e-07
7.173080e+07 9.148560e-08
7.872446e+07 7.181775e-08
8.640000e+07 5.677625e-08
