# nu [1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18]
# t(s)     Fnu(mJy)
8.640000e+03 6.230560e-09
9.933900e+03 6.880086e-09
1.142157e+04 7.615117e-09
1.313203e+04 8.495115e-09
1.509865e+04 9.425683e-09
1.735977e+04 1.052541e-08
1.995952e+04 1.181438e-08
2.294860e+04 1.326608e-08
2.638531e+04 1.497612e-08
3.033670e+04 1.690444e-08
3.487983e+04 1.913603e-08
4.010333e+04 2.177941e-08
4.610908e+04 2.484492e-08
5.301424e+04 2.823370e-08
6.095349e+04 3.239790e-08
7.008170e+04 3.727804e-08
8.057693e+04 4.269372e-08
9.264389e+04 4.921191e-08
1.065180e+05 5.685004e-08
1.224698e+05 6.564024e-08
1.408105e+05 7.593673e-08
1.618978e+05 8.818013e-08
1.861432e+05 1.026625e-07
2.140194e+05 1.187932e-07
2.460703e+05 1.384352e-07
2.829210e+05 1.612068e-07
3.252905e+05 1.874570e-07
3.740050e+05 2.192887e-07
4.300148e+05 2.558302e-07
4.944126e+05 2.975260e-07
5.684543e+05 3.479222e-07
6.535843e+05 4.042927e-07
7.514631e+05 4.714710e-07
8.640000e+05 5.482375e-07
9.933900e+05 6.360184e-07
1.142157e+06 7.386229e-07
1.313203e+06 8.522676e-07
1.509865e+06 9.842038e-07
1.735977e+06 1.129447e-06
1.995952e+06 1.291743e-06
2.294860e+06 1.469652e-06
2.638531e+06 1.658093e-06
3.033670e+06 1.863022e-06
3.487983e+06 2.067729e-06
4.010333e+06 2.265235e-06
4.610908e+06 2.447811e-06
5.301424e+06 2.597740e-06
6.095349e+06 2.673075e-06
7.008170e+06 2.650358e-06
8.057693e+06 2.501303e-06
9.264389e+06 2.253657e-06
1.065180e+07 1.919094e-06
1.224698e+07 1.519607e-06
1.408105e+07 1.110584e-06
1.618978e+07 7.557087e-07
1.861432e+07 4.852710e-07
2.140194e+07 3.012795e-07
2.460703e+07 1.850798e-07
2.829210e+07 1.142587e-07
3.252905e+07 7.163985e-08
3.740050e+07 4.589119e-08
4.300148e+07 3.010441e-08
4.944126e+07 2.022444e-08
5.684543e+07 1.389796e-08
6.535843e+07 9.751498e-09
7.514631e+07 6.972046e-09
8.640000e+07 5.069939e-09
9.933900e+07 3.742515e-09
1.142157e+08 2.800112e-09
1.313203e+08 2.120696e-09
1.509865e+08 1.624336e-09
1.735977e+08 1.257759e-09
1.995952e+08 9.849183e-10
2.294860e+08 7.811922e-10
2.638531e+08 6.296805e-10
3.033670e+08 5.189098e-10
3.487983e+08 4.412701e-10
4.010333e+08 3.920196e-10
4.610908e+08 3.681380e-10
5.301424e+08 3.656822e-10
6.095349e+08 3.761799e-10
7.008170e+08 3.804694e-10
8.057693e+08 3.560969e-10
9.264389e+08 3.029661e-10
1.065180e+09 2.413696e-10
1.224698e+09 1.870077e-10
1.408105e+09 1.442084e-10
1.618978e+09 1.117827e-10
1.861432e+09 8.736429e-11
2.140194e+09 6.885959e-11
2.460703e+09 5.469289e-11
2.829210e+09 4.373109e-11
3.252905e+09 3.516510e-11
3.740050e+09 2.841286e-11
4.300148e+09 2.305031e-11
4.944126e+09 1.876410e-11
5.684543e+09 1.531948e-11
6.535843e+09 1.253835e-11
7.514631e+09 1.028400e-11
8.640000e+09 8.450459e-12
