# nu [1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18]
# t(s)     Fnu(mJy)
8.640000e+03 9.739297e-15
9.482389e+03 1.306994e-14
1.040691e+04 1.725866e-14
1.142157e+04 2.174031e-14
1.253516e+04 2.735608e-14
1.375732e+04 3.601239e-14
1.509865e+04 4.815381e-14
1.657074e+04 6.186051e-14
1.818637e+04 7.744452e-14
1.995952e+04 1.000219e-13
2.190555e+04 1.334881e-13
2.404131e+04 1.738558e-13
2.638531e+04 2.184814e-13
2.895785e+04 2.792033e-13
3.178120e+04 3.702948e-13
3.487983e+04 4.848254e-13
3.828057e+04 6.120098e-13
4.201288e+04 7.793734e-13
4.610908e+04 1.028990e-12
5.060466e+04 1.345266e-12
5.553855e+04 1.700438e-12
6.095349e+04 2.170834e-12
6.689638e+04 2.860704e-12
7.341870e+04 3.734798e-12
8.057693e+04 4.690895e-12
8.843308e+04 6.035995e-12
9.705520e+04 7.934511e-12
1.065180e+05 1.019301e-11
1.169033e+05 1.289795e-11
1.283013e+05 1.676172e-11
1.408105e+05 2.191067e-11
1.545393e+05 2.773532e-11
1.696067e+05 3.549566e-11
1.861432e+05 4.638325e-11
2.042919e+05 5.936347e-11
2.242101e+05 7.531804e-11
2.460703e+05 9.784456e-11
2.700618e+05 1.260428e-10
2.963925e+05 1.596569e-10
3.252905e+05 2.059024e-10
3.570059e+05 2.656482e-10
3.918135e+05 3.371465e-10
4.300148e+05 4.328352e-10
4.719408e+05 5.565154e-10
5.179544e+05 7.061561e-10
5.684543e+05 9.058950e-10
6.238779e+05 1.156951e-09
6.847052e+05 1.468086e-09
7.514631e+05 1.882620e-09
8.247299e+05 2.385570e-09
9.051400e+05 3.038026e-09
9.933900e+05 3.860974e-09
1.090244e+06 4.887426e-09
1.196542e+06 6.205008e-09
1.313203e+06 7.826007e-09
1.441239e+06 9.891870e-09
1.581758e+06 1.243960e-08
1.735977e+06 1.563452e-08
1.905233e+06 1.957028e-08
2.090991e+06 2.444564e-08
2.294860e+06 3.038168e-08
2.518606e+06 3.762094e-08
2.764167e+06 4.631423e-08
3.033670e+06 5.662878e-08
3.329449e+06 6.858499e-08
3.654066e+06 8.198324e-08
4.010333e+06 9.566902e-08
4.401335e+06 1.065335e-07
4.830460e+06 1.091509e-07
5.301424e+06 1.028349e-07
5.818306e+06 8.941642e-08
6.385584e+06 7.055482e-08
7.008170e+06 5.051617e-08
7.691458e+06 3.350079e-08
8.441366e+06 2.129053e-08
9.264389e+06 1.336710e-08
1.016766e+07 8.463701e-09
1.115899e+07 5.467385e-09
1.224698e+07 3.621968e-09
1.344104e+07 2.463986e-09
1.475153e+07 1.719918e-09
1.618978e+07 1.229578e-09
1.776827e+07 8.983585e-10
1.950065e+07 6.692476e-10
2.140194e+07 5.072601e-10
2.348860e+07 3.904178e-10
2.577871e+07 3.045994e-10
2.829210e+07 2.405244e-10
3.105055e+07 1.919722e-10
3.407794e+07 1.546891e-10
3.740050e+07 1.257142e-10
4.104700e+07 1.029512e-10
4.504903e+07 8.489271e-11
4.944126e+07 7.044039e-11
5.426172e+07 5.878224e-11
5.955217e+07 4.931177e-11
6.535843e+07 4.157055e-11
7.173080e+07 3.520897e-11
7.872446e+07 2.995816e-11
8.640000e+07 2.561022e-11
