# nu [1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18
 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18 1.e+18]
# t(s)     Fnu(mJy)
1.000000e-08 3.826421e+00
1.122451e-08 3.902166e+00
1.259895e-08 3.978818e+00
1.414170e-08 4.056367e+00
1.587336e-08 4.136467e+00
1.781706e-08 4.211905e+00
1.999877e-08 4.298635e+00
2.244763e-08 4.381096e+00
2.519636e-08 4.470601e+00
2.828167e-08 4.551183e+00
3.174477e-08 4.637526e+00
3.563194e-08 4.725041e+00
3.999509e-08 4.812723e+00
4.489251e-08 4.916536e+00
5.038963e-08 5.014254e+00
5.655986e-08 5.109664e+00
6.348565e-08 5.205623e+00
7.125951e-08 5.304748e+00
7.998527e-08 5.411157e+00
8.977952e-08 5.518215e+00
1.007731e-07 5.626467e+00
1.131128e-07 5.727320e+00
1.269635e-07 5.846363e+00
1.425103e-07 5.959290e+00
1.599607e-07 6.078882e+00
1.795480e-07 6.191427e+00
2.015338e-07 6.312093e+00
2.262117e-07 6.427965e+00
2.539114e-07 6.548740e+00
2.850030e-07 6.689382e+00
3.199018e-07 6.823621e+00
3.590740e-07 6.951484e+00
4.030428e-07 7.085687e+00
4.523956e-07 7.223097e+00
5.077917e-07 7.366676e+00
5.699711e-07 7.510131e+00
6.397644e-07 7.656887e+00
7.181039e-07 7.799500e+00
8.060361e-07 7.958940e+00
9.047357e-07 8.114408e+00
1.015521e-06 8.269494e+00
1.139872e-06 8.426539e+00
1.279450e-06 8.586544e+00
1.436120e-06 8.746239e+00
1.611973e-06 8.909209e+00
1.809360e-06 9.100457e+00
2.030918e-06 9.283902e+00
2.279605e-06 9.461387e+00
2.558744e-06 9.638031e+00
2.872063e-06 9.827301e+00
3.223749e-06 1.002120e+01
3.618499e-06 1.022025e+01
4.061586e-06 1.042000e+01
4.558929e-06 1.062242e+01
5.117173e-06 1.082792e+01
5.743774e-06 1.103534e+01
6.447102e-06 1.125073e+01
7.236553e-06 1.146244e+01
8.122674e-06 1.167983e+01
9.117299e-06 1.189433e+01
1.023372e-05 1.212379e+01
1.148684e-05 1.235885e+01
1.289341e-05 1.263098e+01
1.447222e-05 1.286664e+01
1.624435e-05 1.311801e+01
1.823348e-05 1.337578e+01
2.046618e-05 1.363897e+01
2.297228e-05 1.390938e+01
2.578524e-05 1.418017e+01
2.894266e-05 1.445546e+01
3.248671e-05 1.473547e+01
3.646472e-05 1.501887e+01
4.092985e-05 1.531083e+01
4.594173e-05 1.559984e+01
5.156732e-05 1.590231e+01
5.788177e-05 1.619029e+01
6.496943e-05 1.650342e+01
7.292497e-05 1.681745e+01
8.185467e-05 1.719223e+01
9.187782e-05 1.750657e+01
1.031283e-04 1.784691e+01
1.157564e-04 1.819696e+01
1.299309e-04 1.855414e+01
1.458410e-04 1.893660e+01
1.636993e-04 1.928940e+01
1.837444e-04 1.964695e+01
2.062440e-04 2.005229e+01
2.314987e-04 2.043493e+01
2.598458e-04 2.082665e+01
2.916641e-04 2.122520e+01
3.273785e-04 2.162466e+01
3.674662e-04 2.202031e+01
4.124626e-04 2.243711e+01
4.629689e-04 2.286380e+01
5.196597e-04 2.337614e+01
5.832924e-04 2.381208e+01
6.547168e-04 2.424618e+01
7.348873e-04 2.468460e+01
8.248747e-04 2.499355e+01
9.258810e-04 2.519111e+01
1.039256e-03 2.524982e+01
1.166513e-03 2.517541e+01
1.309353e-03 2.496592e+01
1.469684e-03 2.459620e+01
1.649648e-03 2.393255e+01
1.851648e-03 2.326659e+01
2.078384e-03 2.258902e+01
2.332883e-03 2.193660e+01
2.618546e-03 2.129097e+01
2.939188e-03 2.072286e+01
3.299094e-03 2.011086e+01
3.703070e-03 1.955561e+01
4.156513e-03 1.899840e+01
4.665480e-03 1.844489e+01
5.236771e-03 1.794304e+01
